Date,Open,High,Low,Close,Adj Close,Volume
2023-04-24,107.730003,109.480003,104.330002,105.449997,105.449997,130565000
2023-05-01,104.949997,105.959999,101.150002,105.660004,105.660004,315507800
2023-05-08,105.040001,113.279999,104.699997,110.260002,110.260002,296882800
2023-05-15,111.150002,118.599998,109.250000,116.250000,116.250000,318303500
2023-05-22,116.769997,121.500000,113.779999,120.110001,120.110001,365081900
2023-05-29,122.370003,126.389999,119.169998,124.250000,124.250000,252705700
2023-06-05,123.360001,127.400002,120.629997,123.430000,123.430000,302797900
2023-06-12,124.019997,128.410004,123.529999,125.489998,125.489998,298971900
2023-06-19,124.970001,130.839996,123.849998,129.330002,129.330002,271277600
2023-06-26,129.330002,131.490005,127.099998,130.360001,130.360001,254011300
2023-07-03,130.820007,131.850006,127.370003,129.779999,129.779999,146728800
2023-07-10,129.070007,136.649994,125.919998,134.679993,134.679993,281422600
2023-07-17,134.559998,135.990005,128.419998,130.000000,130.000000,351035900
2023-07-24,130.309998,133.009995,126.110001,132.210007,132.210007,237666000
2023-07-31,133.199997,143.630005,126.410004,139.570007,139.570007,376551500
2023-08-07,140.990005,142.539993,137.000000,138.410004,138.410004,274701400
2023-08-14,138.300003,141.279999,131.149994,133.220001,133.220001,228429600
2023-08-21,133.740005,136.779999,130.580002,133.259995,133.259995,204972400
2023-08-28,133.779999,139.960007,131.850006,138.119995,138.119995,208621100
2023-09-04,137.729996,138.850006,133.160004,138.229996,138.229996,169269300
2023-09-11,138.750000,145.860001,138.639999,140.389999,140.389999,326793500
2023-09-18,140.479996,141.750000,128.520004,129.119995,129.119995,280708800
2023-09-25,129.360001,131.779999,123.040001,127.120003,127.120003,302552000
2023-10-02,127.279999,130.470001,124.129997,127.959999,127.959999,230255100
2023-10-09,126.220001,134.479996,124.760002,129.789993,129.789993,223009300
2023-10-16,130.690002,133.070007,124.970001,125.169998,125.169998,252181700
2023-10-23,124.629997,130.020004,118.349998,127.739998,127.739998,395043700
2023-10-30,129.720001,139.490005,128.559998,138.600006,138.600006,281848200
2023-11-06,138.759995,143.649994,138.360001,143.559998,143.559998,228568800
2023-11-13,142.080002,147.289993,139.520004,145.179993,145.179993,255521100
2023-11-20,145.130005,147.740005,141.500000,146.740005,146.740005,181224700
2023-11-27,147.529999,149.259995,144.330002,147.029999,147.029999,242823600
2023-12-04,145.250000,148.570007,142.809998,147.419998,147.419998,229006400
2023-12-11,145.660004,150.570007,143.639999,149.970001,149.970001,317057700
2023-12-18,150.559998,155.630005,150.050003,153.419998,153.419998,221792000
2023-12-25,153.559998,154.779999,151.029999,151.940002,151.940002,123347900
2024-01-01,151.539993,152.380005,144.050003,145.240005,145.240005,197929500
2024-01-08,146.740005,157.169998,146.149994,154.619995,154.619995,224524500
2024-01-15,153.529999,155.759995,149.910004,155.339996,155.339996,165221900
2024-01-22,156.889999,160.720001,153.899994,159.119995,159.119995,224906800
2024-01-29,159.339996,172.500000,154.809998,171.809998,171.809998,334459500
2024-02-05,170.199997,175.000000,167.649994,174.449997,174.449997,244063400
2024-02-12,174.800003,175.389999,165.750000,169.509995,169.509995,248140800
2024-02-19,167.830002,175.750000,165.740005,174.990005,174.990005,201663500
2024-02-26,175.699997,178.729996,172.270004,178.220001,178.220001,189452400
2024-03-04,177.529999,180.139999,173.259995,175.350006,175.350006,178617500
2024-03-11,174.309998,179.529999,171.470001,174.419998,174.419998,211689300
2024-03-18,175.800003,181.419998,173.520004,178.869995,178.869995,148867200
2024-03-25,178.009995,181.699997,177.240005,180.380005,180.380005,130798700
2024-04-01,180.789993,186.270004,178.380005,185.070007,185.070007,176792100
2024-04-08,186.899994,189.770004,182.669998,186.130005,186.130005,190222400
2024-04-15,187.429993,188.690002,173.440002,174.630005,174.630005,198977200
2024-04-22,176.940002,180.820007,166.320007,179.619995,179.619995,200438900
2024-04-26,177.679993,180.820007,176.130005,179.619995,179.619995,43919765
